Email_ID,Email_Type,Subject_Hotness_Score,Email_Source_Type,Customer_Location,Email_Campaign_Type,Total_Past_Communications,Time_Email_sent_Category,Word_Count,Total_Links,Total_Images,Email_Status
EMA00081015295340,1,0,2,D,1,,1,982,1,0,1
EMA00081015417770,1,0,2,F,3,,3,339,6,0,1
EMA00081015693700,1,0.9,2,F,2,20,2,504,11,0,1
EMA00081015795400,1,0.2,2,D,3,43,2,841,16,0,0
EMA00081016183960,1,0.1,1,E,3,42,2,593,21,13,1
EMA00081016359350,1,0.6,2,F,2,45,3,610,14,10,1
EMA00081016365090,1,1.6,1,D,2,20,2,1140,26,20,1
EMA00081016516940,1,0.1,1,F,3,56,2,416,14,0,1
EMA00081016520050,1,0,2,G,3,41,2,1061,11,9,0
EMA00081016578260,1,0,2,C,3,18,2,892,16,15,0
EMA00081016720210,2,0.1,1,G,3,39,2,741,8,6,1
EMA00081016758910,2,0,2,F,3,36,2,673,14,3,0
EMA00081016770200,1,0.2,1,G,3,30,2,608,4,2,1
EMA00081016819220,1,0.2,1,,1,0,2,988,1,0,1
EMA00081016853880,1,0.2,1,G,3,,3,542,16,8,1
EMA00081017211960,2,2.5,1,,2,6,1,152,14,6,1
EMA00081017221720,1,2,2,G,2,27,2,962,19,10,1
EMA00081018191810,1,0.1,1,,3,55,2,339,5,0,0
EMA00081018235670,2,0.1,2,E,3,19,2,1271,19,1,0
EMA00081018900840,2,0.1,2,,3,43,2,392,8,6,1
EMA00081019484190,2,0,2,E,3,,2,806,6,0,0
EMA00081019572850,1,0.1,1,G,3,26,3,904,4,0,0
EMA00081019848410,1,0,2,C,3,,1,1229,4,2,0
EMA00081020246540,2,0,1,D,3,9,2,1038,11,10,0
EMA00081020301680,1,2.8,1,C,2,18,2,623,14,10,1
EMA00081020437910,1,0.2,1,G,3,35,2,1140,4,0,1
EMA00081020660780,1,1.6,1,B,2,33,2,424,31,25,1
EMA00081021098050,1,0.3,1,E,3,35,2,560,16,0,0
EMA00081021234570,2,0.1,2,,3,,2,577,8,3,0
EMA00081021236710,1,1.2,2,C,2,44,2,366,8,4,1
EMA00081021338230,2,0,1,G,3,16,2,1296,9,,0
EMA00081021483550,1,0,1,G,3,35,2,1216,12,6,0
EMA00081021582540,1,0.2,1,G,3,27,2,1241,13,7,0
EMA00081021719190,1,0.2,1,G,3,31,1,1203,4,3,1
EMA00081022149680,1,0.2,1,,3,32,3,933,16,6,0
EMA00081022263580,1,0,1,G,3,41,2,771,11,1,1
EMA00081022448000,1,0.2,2,G,3,34,2,662,21,12,1
EMA00081022666060,1,0.2,2,C,3,40,1,577,9,0,1
EMA00081022770030,1,0,2,G,3,60,1,99,19,1,0
EMA00081022906600,1,0.3,2,D,3,50,3,631,26,17,0
EMA00081022954070,1,1.2,2,G,2,45,2,610,10,3,1
EMA00081023018870,1,0.2,2,D,3,36,2,593,21,9,0
EMA00081023095350,2,0,1,G,3,16,3,977,,17,0
EMA00081023406490,2,0.2,2,G,3,16,2,1173,5,0,0
EMA00081023631050,1,0,1,E,3,15,2,987,9,0,0
EMA00081023701900,1,1.8,1,G,2,42,1,694,16,10,1
EMA00081023880930,2,1.5,1,E,2,35,1,366,11,0,1
EMA00081023890140,1,1.2,2,G,2,50,2,67,6,0,1
EMA00081024225720,1,0.2,1,G,3,59,3,187,4,0,1
EMA00081024405850,1,0.1,2,G,3,,3,1189,8,4,0
EMA00081024469640,1,0.2,2,E,3,61,2,311,,1,1
EMA00081024476240,2,0.1,2,G,3,51,2,392,6,4,1
EMA00081024519320,2,0,2,E,3,13,2,868,6,4,0
EMA00081024736710,2,0.2,1,D,3,37,2,694,11,5,0
EMA00081024849550,2,0,2,G,3,37,2,741,18,0,0
EMA00081024911480,2,0,1,D,3,50,2,490,11,0,1
EMA00081025166760,1,3.2,2,E,2,25,2,419,11,5,1
EMA00081025252450,1,1.4,1,,2,36,2,605,,15,1
EMA00081025706290,1,0.8,2,F,2,45,1,419,14,10,1
EMA00081025760760,2,0.1,2,G,3,20,1,311,8,6,0
EMA00081025889620,2,0.2,1,B,3,20,3,1303,21,12,0
EMA00081026517490,1,2.5,2,D,2,,2,419,4,0,1
EMA00081027102940,1,2,2,G,2,24,2,630,4,0,1
EMA00081027319160,1,0.3,2,D,3,35,3,694,24,13,1
EMA00081028094160,2,0.3,2,,1,0,2,812,1,0,1
EMA00081028198570,1,0,1,D,3,32,2,704,5,0,0
EMA00081028199280,1,0.2,1,C,3,50,1,630,9,0,1
EMA00081028246030,1,0.2,2,,3,10,3,892,21,20,0
EMA00081028330970,2,0,1,G,3,24,1,842,4,1,0
EMA00081028913050,1,2.7,1,G,2,36,1,419,11,8,1
EMA00081029462840,2,0.1,1,G,3,51,2,550,6,0,0
EMA00081029648820,1,0,1,,1,0,3,653,1,0,1
EMA00081030169140,1,1.4,2,C,2,30,3,578,21,11,1
EMA00081030387020,1,0.1,2,G,3,14,3,484,4,0,0
EMA00081031129170,1,0.8,1,G,2,,2,988,6,0,1
EMA00081031273220,1,0.3,1,E,3,20,2,922,16,5,0
EMA00081031676110,2,0,2,G,3,,1,1229,6,0,0
EMA00081031838230,1,0.2,1,G,3,12,2,661,6,0,0
EMA00081031924620,1,0.3,2,,3,24,3,904,11,4,0
EMA00081032195850,2,0.1,1,D,3,32,2,352,8,1,0
EMA00081032244630,2,0.9,1,,2,27,2,855,31,16,1
EMA00081032490980,1,0,2,F,3,37,2,873,26,7,0
EMA00081032668550,1,0,1,E,3,40,2,220,4,0,1
EMA00081032826800,2,0.1,1,G,3,47,2,275,6,0,0
EMA00081033103680,2,0.1,1,F,3,26,3,649,6,1,0
EMA00081033419320,2,1.3,1,,2,25,3,608,11,0,1
EMA00081033426530,1,0,1,D,3,40,3,593,4,0,0
EMA00081034127290,1,3.7,2,D,2,7,2,733,11,0,1
EMA00081034170510,1,1.7,2,A,2,38,3,152,6,2,1
EMA00081034479810,1,0,2,,3,31,2,842,5,0,0
EMA00081034589950,1,0.2,2,G,3,18,2,608,14,0,0
EMA00081034659260,1,0.2,1,E,3,60,1,419,16,7,0
EMA00081034816080,1,0,2,E,3,28,2,694,11,2,0
EMA00081034859820,2,0.3,1,F,3,50,2,190,4,0,1
EMA00081035059050,1,1.6,1,D,2,31,2,462,11,0,1
EMA00081035227150,1,0,2,D,3,,2,578,8,0,1
EMA00081035283790,1,1.6,1,G,2,40,2,40,4,1,1
EMA00081035314040,1,0.6,2,,2,41,2,311,6,0,1
EMA00081035436590,1,0,1,G,3,49,1,521,7,0,0
EMA00081035499190,1,0.1,1,G,3,41,3,760,31,16,1
EMA00081035521800,1,0.1,1,,3,44,3,458,4,0,0
EMA00081035835050,2,0.1,1,D,3,37,2,1061,8,0,1
EMA00081035946620,2,0.3,2,G,3,,3,655,6,1,0
EMA00081036762370,2,0,2,B,3,30,2,458,4,,1
EMA00081037071460,2,0,1,E,3,46,2,550,6,0,0
EMA00081037163300,1,0,1,G,3,42,2,311,11,0,0
EMA00081037227210,1,1.6,1,G,2,,3,490,6,0,1
EMA00081037413900,2,0.1,2,G,3,40,2,504,11,0,0
EMA00081037895650,1,2,2,,2,,3,132,6,0,1
EMA00081037901900,1,1.5,2,C,2,32,2,933,11,0,1
EMA00081038059530,1,0,2,G,3,32,2,1229,4,0,0
EMA00081038250510,1,1.3,1,B,2,38,2,771,6,0,1
EMA00081038349400,1,1.4,1,D,2,18,2,673,21,,1
EMA00081038406960,1,0.2,1,,3,,1,636,8,6,1
EMA00081038759920,1,0.3,1,E,3,32,1,934,7,0,1
EMA00081039534040,2,0.3,1,G,3,40,3,605,4,0,1
EMA00081039705590,2,0,2,D,3,9,1,721,16,0,0
EMA00081039751300,1,0.1,1,C,3,38,1,636,16,0,1
EMA00081039787860,1,0.3,1,G,3,55,3,610,,13,1
EMA00081039869260,1,1.7,2,E,2,30,1,840,,0,1
EMA00081041065020,1,0.1,2,E,3,40,3,484,21,13,1
EMA00081041178160,2,0.1,1,F,3,41,3,608,11,0,1
EMA00081041340230,2,4.5,1,,2,20,1,233,31,14,1
EMA00081041529310,1,0.9,1,G,2,35,2,392,11,0,1
EMA00081041661340,1,0.1,1,G,3,52,2,694,5,0,1
EMA00081042190350,1,3,2,E,2,29,3,366,11,10,1
EMA00081042476800,2,0.2,2,G,3,34,3,722,21,14,1
EMA00081042612330,2,0,2,G,3,46,2,484,4,0,1
EMA00081042893820,1,3,2,,2,31,2,67,8,0,1
EMA00081043493070,1,0.3,1,G,3,28,2,912,14,8,1
EMA00081043914980,2,0,2,F,3,44,3,578,14,13,0
EMA00081045165910,2,0.3,2,G,3,40,2,655,11,0,0
EMA00081045174050,1,0.3,2,B,3,,1,610,10,3,1
EMA00081045794500,1,1.6,2,B,2,30,2,470,15,4,1
EMA00081046118230,2,2.2,1,A,2,26,2,253,2,0,1
EMA00081046251450,1,0.2,2,D,2,24,1,1189,16,5,1
EMA00081046388880,1,0.1,2,G,3,24,3,931,11,7,0
EMA00081046864140,1,1,1,,2,35,2,339,11,9,1
EMA00081046943460,1,1.2,2,B,2,22,2,578,8,0,1
EMA00081047477070,1,0,1,G,3,53,2,366,4,0,0
EMA00081048077220,1,0.1,1,G,3,46,2,655,9,7,1
EMA00081048152910,1,0.2,2,G,3,22,2,1296,9,0,0
EMA00081048339080,1,0.1,2,,3,,3,771,4,0,0
EMA00081048366890,2,0.1,1,G,3,40,2,440,7,0,0
EMA00081048394900,1,2.2,2,C,2,32,3,389,11,5,1
EMA00081048452030,2,0,2,F,3,22,1,694,5,0,0
EMA00081048925640,1,0,1,D,3,45,2,630,11,0,1
EMA00081049256550,1,0,1,G,3,32,3,902,6,0,1
EMA00081049502510,1,0.3,1,D,3,51,1,678,4,0,0
EMA00081049541140,1,1.5,1,F,2,24,2,760,14,0,1
EMA00081049921320,2,0.2,1,G,3,21,2,1173,9,5,0
EMA00081050500650,2,0.1,2,,3,50,2,771,11,6,1
EMA00081050650360,2,0,1,E,3,14,2,577,5,0,0
EMA00081050934210,1,0.1,2,E,1,0,2,631,1,0,1
EMA00081050996880,2,0.2,2,,3,23,2,939,4,0,0
EMA00081051173090,1,0.2,2,F,3,40,2,694,4,0,0
EMA00081051217390,2,0,1,D,3,42,3,440,11,0,1
EMA00081051779290,1,2.6,1,,2,41,3,51,16,2,1
EMA00081052188350,1,2.6,1,C,2,25,2,521,21,12,1
EMA00081052252670,1,1.5,1,,2,33,1,484,9,0,1
EMA00081052342040,1,0.2,2,G,3,37,1,649,4,0,1
EMA00081052417650,1,0.3,2,F,3,55,1,314,9,8,0
EMA00081052476520,2,0,1,G,3,39,2,721,8,0,0
EMA00081052685850,1,3.2,1,E,2,26,2,389,6,,1
EMA00081052816300,2,0.2,2,,3,45,3,79,4,0,0
EMA00081053047110,1,0.8,1,C,2,34,2,560,16,7,1
EMA00081053185900,2,0.1,1,,2,51,2,424,6,5,1
EMA00081053647210,1,1.4,2,C,2,40,2,565,11,,1
EMA00081053901520,1,0,1,B,3,43,2,577,11,3,1
EMA00081054325890,1,0.1,2,D,3,54,2,366,11,0,1
EMA00081054328530,1,0.2,2,B,3,44,2,636,16,,0
EMA00081054610320,1,2.3,1,G,2,26,2,840,9,0,1
EMA00081054811640,1,2.3,1,E,2,36,2,190,4,0,1
EMA00081055174740,1,1.5,2,B,2,,2,630,6,3,1
EMA00081055255200,2,0.1,1,E,2,20,3,704,4,0,1
EMA00081055441730,1,0.1,2,D,3,15,2,1289,5,2,0
EMA00081055909080,2,0,2,E,3,37,2,649,19,8,0
EMA00081056001430,2,0,1,,3,40,1,623,4,,0
EMA00081056006920,2,0.1,2,F,3,52,2,458,7,2,0
EMA00081056119980,1,1.2,2,B,2,38,2,806,14,1,1
EMA00081056465670,2,0.2,1,G,3,,3,560,4,0,0
EMA00081056494230,2,0.3,2,E,3,40,2,524,8,2,1
EMA00081057059190,2,0.3,2,E,3,28,2,704,11,0,0
EMA00081057990830,2,0.2,1,,3,33,3,855,11,0,0
EMA00081058485180,2,0,2,E,3,28,2,1038,3,0,0
EMA00081058956350,1,0.3,2,G,3,31,2,757,11,0,0
EMA00081059575660,1,1.6,1,G,2,35,3,760,8,0,1
EMA00081060341330,1,0.2,1,C,3,22,1,722,6,2,1
EMA00081061282790,1,0.3,2,E,1,0,2,352,1,0,0
EMA00081061498840,1,0.3,1,,3,,3,733,3,0,0
EMA00081061614100,2,0.2,2,B,3,39,2,40,6,0,0
EMA00081061886060,2,0.8,1,,2,10,1,1262,21,19,1
EMA00081062125890,1,0.1,2,G,3,39,2,873,16,0,0
EMA00081062127250,2,0.3,2,E,3,45,1,565,18,0,0
EMA00081063338320,1,1.5,2,C,2,31,3,518,8,0,1
EMA00081063416740,2,0,1,,3,41,2,608,4,0,0
EMA00081063489400,2,0.2,2,,3,47,3,771,10,,0
EMA00081063860240,1,2.5,2,G,2,,2,251,6,0,1
EMA00081064099490,1,0,1,C,3,25,2,751,5,0,0
EMA00081064167720,1,0.1,1,G,3,22,2,827,6,4,0
EMA00081064226030,2,1.1,1,G,2,,1,722,4,0,1
EMA00081064237720,1,2.1,2,C,2,20,3,741,9,8,1
EMA00081064808110,1,0,2,G,3,33,2,730,11,8,0
EMA00081064981040,2,0,1,G,3,40,2,795,2,0,0
EMA00081065233670,1,0.2,2,D,3,52,2,339,18,10,1
EMA00081065741970,2,0,1,G,3,36,1,1082,4,0,0
EMA00081065902900,1,0.8,1,G,2,40,2,490,9,1,1
EMA00081066611850,1,0.1,2,,3,38,2,1014,6,0,0
EMA00081066642120,1,1.6,2,G,2,36,1,550,21,17,1
EMA00081066924130,1,0,1,G,3,55,1,251,11,4,1
EMA00081066946030,1,0.2,2,C,3,33,2,730,10,4,0
EMA00081067346180,2,0.1,1,F,3,27,3,922,11,0,1
EMA00081067582520,2,0.2,2,E,3,26,2,1173,9,0,0
EMA00081067667900,1,0.1,2,G,3,49,2,700,14,3,0
EMA00081067704000,1,2.1,1,D,2,18,2,1014,4,0,1
EMA00081068002140,1,1.8,1,G,2,30,1,578,14,,1
EMA00081068071670,1,0.3,1,G,3,46,3,593,9,7,1
EMA00081068414610,1,0,2,D,3,10,1,773,4,2,0
EMA00081068453560,2,0.2,1,D,3,32,3,392,21,14,0
EMA00081068934460,1,0,2,E,3,31,2,1189,14,12,0
EMA00081069023390,1,0.5,2,B,2,37,2,700,21,3,1
EMA00081069101620,1,0,1,G,3,48,3,770,13,0,0
EMA00081069186240,1,1.4,2,G,2,25,2,812,6,3,1
EMA00081069299990,1,0.1,2,E,3,25,3,484,8,0,0
EMA00081070114230,1,0,2,E,3,46,2,424,11,8,0
EMA00081070582230,1,0.3,1,G,3,,3,1102,6,0,1
EMA00081070808600,2,0,2,D,3,36,2,1038,6,0,1
EMA00081070991490,1,0.2,2,G,3,21,3,880,6,0,0
EMA00081071302280,2,0.1,1,G,3,28,2,560,6,4,0
EMA00081071620270,1,2.6,2,F,2,40,2,40,11,9,1
EMA00081072106120,2,0.2,2,D,3,22,3,1296,2,0,0
EMA00081072251830,2,0.3,2,,3,25,2,962,5,0,1
EMA00081072344920,1,0.3,1,,3,23,2,757,6,0,0
EMA00081072455730,2,0.1,2,,3,18,2,757,9,0,0
EMA00081072743350,1,0.3,1,E,3,48,2,605,6,0,0
EMA00081072906650,2,0.1,1,C,3,40,3,484,6,0,1
EMA00081073015970,2,0.3,1,G,3,54,2,565,4,0,1
EMA00081073169340,1,0.8,1,F,2,40,1,339,6,0,1
EMA00081073799390,1,0.1,1,D,3,54,2,733,11,4,1
EMA00081074018330,1,1.2,1,G,2,54,3,40,21,4,1
EMA00081074214690,1,0,2,,3,35,1,1122,16,5,0
EMA00081074243150,2,0.1,1,,3,41,2,593,16,14,1
EMA00081074304140,1,0.3,2,G,3,33,2,868,14,0,0
EMA00081074722340,2,0.3,2,G,3,51,3,490,6,0,0
EMA00081074994500,2,0,2,D,3,35,2,254,14,5,0
EMA00081075183900,2,0.1,2,G,3,36,2,631,4,0,0
EMA00081075193810,2,0.2,2,,3,21,2,744,6,0,0
EMA00081075489280,1,0.3,2,G,1,0,2,868,1,0,1
EMA00081076070710,1,0.3,2,E,3,41,1,504,11,0,1
EMA00081076682780,1,0.6,2,G,2,38,2,392,11,0,1
EMA00081078193410,1,2,1,C,2,32,1,653,11,0,1
EMA00081078360970,1,0.2,1,B,3,62,2,79,11,4,0
EMA00081078741690,2,0,1,G,3,15,3,931,4,0,0
EMA00081078875590,1,1.1,1,C,2,30,2,1082,21,12,1
EMA00081079428680,1,0.1,2,B,3,42,1,962,11,1,1
EMA00081079452570,1,0.3,1,E,3,48,2,806,4,0,1
EMA00081079507430,1,0.2,1,E,3,,2,520,21,19,1
EMA00081079667460,2,0.1,1,G,3,46,2,806,4,3,1
EMA00081080178750,2,2.1,1,E,2,22,2,339,6,0,1
EMA00081080459180,2,0.1,2,C,3,36,1,440,2,0,0
EMA00081080767190,1,1.6,1,E,2,36,2,490,8,4,1
EMA00081081263520,1,0.7,2,G,2,32,2,795,26,21,1
EMA00081081305910,1,1.2,2,D,2,23,2,608,8,0,1
EMA00081082217440,1,0.2,1,E,3,55,3,694,8,0,1
EMA00081082467320,1,1.5,1,,2,30,2,462,11,0,1
EMA00081082488830,2,0.1,1,G,3,,3,1140,13,0,0
EMA00081082780690,1,0.3,1,E,3,57,3,352,16,7,0
EMA00081082822860,2,0.3,2,B,3,31,2,649,5,0,0
EMA00081082882020,1,2.5,2,G,2,13,2,593,6,0,1
EMA00081083069130,1,0.3,1,G,3,41,2,678,6,0,0
EMA00081083117120,2,0.2,2,G,3,52,2,79,21,7,0
EMA00081083185990,2,0,2,G,3,26,2,760,6,0,0
EMA00081083399770,1,0.3,1,C,3,,2,763,6,3,0
EMA00081083963460,1,0,2,B,3,48,3,504,8,0,1
EMA00081084066070,1,0.1,2,,3,16,2,982,8,2,0
EMA00081084287030,2,0,1,D,3,13,2,713,4,0,0
EMA00081084700400,2,0.3,2,G,3,22,2,630,6,1,0
EMA00081084717650,1,0.7,2,G,2,45,2,490,14,13,1
EMA00081084752210,2,1.8,1,D,2,35,2,311,6,0,1
EMA00081084818060,1,1.1,2,G,2,40,1,366,5,0,1
EMA00081085159270,2,0,2,G,3,32,2,737,14,10,0
EMA00081085560290,2,0,1,E,3,20,2,610,4,0,0
EMA00081085694050,1,0.3,1,E,3,29,2,704,21,2,1
EMA00081085974230,2,0.1,1,G,3,31,2,931,21,7,0
EMA00081086067300,2,0.1,1,G,3,37,3,662,11,6,0
EMA00081086329310,1,0,1,G,3,64,2,419,,0,1
EMA00081086488010,1,2.1,2,G,2,24,1,655,11,0,1
EMA00081086738070,1,0.1,1,G,3,60,2,40,6,0,1
EMA00081087066760,2,0,2,,3,41,2,623,3,1,0
EMA00081087621740,2,0.1,2,B,3,32,1,760,6,0,1
EMA00081087854920,2,0.3,2,A,3,11,3,842,6,5,0
EMA00081088373290,2,0.2,1,,3,21,2,1082,11,1,0
EMA00081088523790,2,0.1,2,F,3,13,1,931,9,0,0
EMA00081088525050,1,0.2,2,,3,50,1,366,11,0,1
EMA00081089772560,2,0.1,1,G,3,40,2,424,10,0,1
EMA00081090350970,1,0.6,2,G,2,34,2,827,11,8,1
EMA00081091169270,2,1.3,1,B,2,36,2,518,19,3,1
EMA00081091223010,1,1,2,E,2,37,3,389,6,0,1
EMA00081091580100,1,2.5,2,F,2,17,2,962,16,2,1
EMA00081092732360,1,0.9,2,G,2,32,2,721,7,5,1
EMA00081093332530,2,0.1,2,E,3,26,2,827,4,0,0
EMA00081094178660,1,0.1,2,E,3,37,2,912,9,0,0
EMA00081094243330,2,0.3,2,G,3,34,2,730,9,0,0
EMA00081094274760,1,0.1,2,G,3,51,2,490,8,5,1
EMA00081094422420,2,0,1,,3,28,3,751,4,0,0
EMA00081094468000,1,0.1,1,E,3,43,2,504,6,0,1
EMA00081094666550,2,0.2,2,E,3,32,2,1157,26,25,0
EMA00081094670850,1,2.1,2,G,2,19,2,988,11,0,1
EMA00081094792700,2,0.1,2,,3,43,3,524,4,1,0
EMA00081094963610,1,3.1,1,,2,,2,40,9,0,1
EMA00081095041560,1,1,1,D,2,36,2,904,21,18,1
EMA00081095435850,1,0.3,1,,3,15,1,694,4,0,0
EMA00081095643070,1,0.3,1,,3,40,2,416,11,0,1
EMA00081095797650,1,1.8,2,,2,31,2,392,11,0,1
EMA00081095930940,1,0,2,C,3,,2,673,28,9,0
EMA00081096328240,1,0.1,1,B,3,43,2,962,4,0,0
EMA00081096487110,2,0.2,1,,3,38,2,282,2,0,0
EMA00081096612300,1,0.9,1,,2,34,2,577,8,0,1
EMA00081096740860,2,0.3,2,G,3,31,1,1122,8,3,1
EMA00081096836860,1,0.3,2,G,3,8,1,1303,4,0,0
EMA00081097183310,1,0.8,2,,2,38,2,490,11,8,1
EMA00081097228720,1,0,1,,3,53,3,424,6,0,1
EMA00081097536360,2,0.2,1,,3,34,3,880,8,4,1
EMA00081097599030,1,0.1,2,G,3,15,2,977,9,0,0
EMA00081097769630,2,0.3,1,G,3,37,2,904,6,0,0
EMA00081098006150,1,0.1,1,C,3,33,3,892,9,0,1
EMA00081098257940,1,0.3,2,G,3,28,1,912,14,7,0
EMA00081098357750,2,0.3,2,G,3,31,3,678,6,2,0
EMA00081098448790,1,0,2,G,3,35,2,1038,19,5,0
EMA00081098591210,1,0.2,2,C,3,43,1,873,4,0,0
EMA00081098743190,1,2.6,1,C,2,14,2,988,6,0,1
EMA00081098777150,1,0.3,1,G,3,,2,653,11,5,1
EMA00081098901190,2,0.1,2,G,3,33,2,1157,21,12,0
EMA00081098912410,2,0.2,2,C,3,10,2,721,4,0,0
EMA00081099303580,1,0.2,2,G,3,33,3,796,6,5,1
EMA00081099606200,1,0.3,2,G,3,40,2,565,8,0,1
EMA00081099966570,1,0,2,E,3,22,2,1241,6,4,0
EMA00081100000070,1,3.9,1,G,2,22,1,220,6,0,1
EMA00081100547440,2,0.5,1,B,2,39,2,741,5,4,1
EMA00081100643310,1,0.1,1,G,3,6,2,593,6,0,1
EMA00081101087630,1,0,1,D,3,54,1,311,14,7,0
EMA00081101275120,1,4.2,1,D,2,,2,40,16,10,1
EMA00081101459850,1,0.3,1,G,3,18,1,1262,5,2,0
EMA00081101810470,1,1.7,2,D,2,34,2,733,11,5,1
EMA00081102277930,1,0.1,2,G,3,46,2,760,21,17,0
EMA00081102950340,1,2.9,1,G,2,,2,152,21,14,1
EMA00081103367720,1,0.3,1,,3,43,1,542,14,0,1
EMA00081103389300,1,0,1,E,3,32,3,827,16,14,0
EMA00081103538460,1,0.1,2,D,3,40,1,778,6,0,1
EMA00081104144400,2,0.1,1,D,3,36,3,827,6,0,0
EMA00081104535210,1,0.2,2,E,3,27,2,1140,6,0,1
EMA00081104703300,1,0.2,2,C,2,30,1,524,4,0,1
EMA00081105096060,1,0.3,2,G,3,35,3,922,,17,0
